localword,words,type
23rd street station_0,"['Update: Incident on #2Line Both directions from 23rd Street Station to 28th Street Station https://t.co/A0paaEIhQt', 'Incident on #1Line at 23rd Street Station https://t.co/GhqPTPLtKN']",topic 1
2blokesbrewing_0,"['Drinking a Bushfire by @2BlokesBrewing @ Park West ? https://t.co/EtUSn9Af5N', 'Drinking a Planet of the Apricots by @2BlokesBrewing @ Two Blokes Brewing ? https://t.co/jK4yUx5Q2Y']",topic 13
2roadsbrewing_1,"['Wait for this every year! Wonderful m?rzen! - Drinking an Ein by @2RoadsBrewing at @2roadsbrewing  ? https://t.co/7ZKgZpZGXN', ""Redo: This ?? is the moment, earlier this summer, in which @2roadsbrewing's Phil Markowski,… https://t.co/uzgqhtSiqy"", 'Drinking an Urban Funk by @2RoadsBrewing at @2roadsbrewing ? https://t.co/k6wTdokoL9 #photo', 'Drinking a Passion fruit Gose by @2RoadsBrewing at @2roadsbrewing ? https://t.co/k2IXtzkKjE #photo', 'Two Roads Espressway Cold Brew Coffee Stout now available on tap. https://t.co/XaQB7juicw @2roadsbrewing #BeerMenus']",topic 13
2sp_0,"['Drinking  The Russian by @2spbrewing @ 2SP Brewing Co. ? https://t.co/cGg3dZFg5m', 'The Imperial #Pumpkin has landed...and it is excellent (@ 2SP Brewing Co. in Aston, PA) https://t.co/Lro3SQFUXZ https://t.co/kFOKBSXxwC']",topic 13
30_0,"['When the Pats go 3-0 with their 3rd-string QB #letsgo #patriots @ Gillette Stadium Patriots Vs… https://t.co/J6gF2K0kB3', 'How about them Patriots?!? ???????????? 3-0 against the Texans. #nfl #thursdaynightfootball… https://t.co/v9IkDZGJ7G', ""So we started our 3rd string QB, and now we're 3-0 #JaGOATy @… https://t.co/4GM3n4kAwR"", '3-0 with a 27-0 Win #Patriots @ Gillette Stadium https://t.co/nKWF4KaDSb', '3-0 #Doyourjob @ Gillette Stadium, Foxborough, Mass. https://t.co/RMvBWL78su']",topic 29
34th street_0,"[""Just posted a photo @ Macy's 34th Street https://t.co/mFPVcLypmv"", 'Representing the Burgh?? No. @ 34th Street &amp; 11th Avenue https://t.co/f4gswEvMX0', 'Can you recommend anyone for this #job? Barista (US) - https://t.co/OFpv61XCxB #Hospitality *151 W. 34TH STREET, #NEWYORK, NY #Veterans', 'Update: Incident on #X28Bus at East 34th Street and Madison Avenue https://t.co/v7EFwnCOX6', ""Myles was obsessed with Mia lol ? @ Macy's 34th Street https://t.co/kkNYJIAu0F"", '#FDNYHazMatOperations Mobilized For the #UNGA @ East 34th Street… https://t.co/ERstYVHgaZ', ""2 of our very own designers looking fabulous in XOXO blazers! ? #FallStyle @ Macy's 34th Street https://t.co/8WtNEt0zH6"", ""#trolls @ Macy's 34th Street https://t.co/bGKdsIqVlY"", ""Isn't it lovely #nyc @ 34th Street https://t.co/8Rs9foruiu"", ""#just ....?I'm walking at #manhattan #newyork #usa?? @ 34th Street https://t.co/iCxFoTEzGv""]",topic 1
3floyds_0,"['Mmmmm mmmmm - Drinking a Dark Lord - Dwarven Power Bottom (2016) by @3floyds at @3floyds  ? https://t.co/2t5VReCCVk', '""Short"" rib. #warpigs #3floyds #bbq #foodporn @ Three Floyds Brewing https://t.co/aDPOgH6naM', ""I'm at Three Floyds Brewery &amp; Pub - @3floyds in Munster, IN w/ @carter69 https://t.co/xaC2yc9WhT""]",topic 13
42northbrewing_0,"['Nailed it.! Literally.... - Drinking a Red Jacket Red Ale by @42northbrewing at @johnstraut  ? https://t.co/QI3lkops8F #photo', 'Drinking an Illumination Bohemian Pilsner by @42northbrewing at @pizzaman04 ? https://t.co/sofRRdkfuF']",topic 13
49ers_0,"['Game day @49ers #CARvsSF @ Bank of America Stadium https://t.co/lcvBSdgx6q', '@kaepernick7 in the building getting this support!!! #nfl #football #gameday #support ??@49ers… https://t.co/wNC4VaK4L5', 'Panthers 2016 Home Opener v. 49ers #NFL #football #Panthers #BankofAmericaStadium @ Bank of… https://t.co/n3fG5pbpD8', 'A lil pregame action, home opener @panthers vs @49ers #nfl #nfc #carolina #sanfran #cam… https://t.co/nghMYI5c3K']",topic 29
53rd st_0,"['Reached the strech goal! 1500!!! @ 24 Hour Fitness - 53rd St, NY https://t.co/3YhI2ugWVt', 'Accident, two lanes blocked in #Nyc on The FDR Dr NB at 53rd St, stop and go traffic back to Houston St, delay of 5 mins #traffic', '""Look Up!"" #ParkAve | Don\'t worry, ang_gent - it never gets old. @ Park Avenue &amp; 53rd St. https://t.co/joJcS5QW0E']",topic 1
5th ave_0,"['5th Ave @ Tiffany &amp; Co. - 5Th Avenue https://t.co/4qiq9fOjGD', '#SOMEStyles: My team stay #Supreme #wdywt #nyc #midtown #uniqlo #style #fashion @ Uniqlo 5th Ave https://t.co/z0OUdTeJir', 'Our Client:  plac_usa Product Presentation @lordandtaylor Mens 9th Floor on 5th Ave in NYC.… https://t.co/gTN1Xrocec']",topic 23
69th_1,"['Need #coffee come join the party at #newyorkcoffeefestival #nycf #cooltote #caffeine @ 69th… https://t.co/FKhGxVno8r', ""I've been slinging this bag around all weekend. Always make me smile when people know it. @ 69th… https://t.co/HPHvIxQDu3"", 'Swing on by @vitaminshoppe on 69th &amp; 3rd ave in NYC today and check out some samples and get… https://t.co/M9guD70agy', 'irvingfarm showcasing some of their blends at the @NYCoffeeFest on the #va388blackeagle. @ 69th… https://t.co/xB83aFDQlz', 'vanilli latte comin right up ??? #lamarzocco #lineamini #newyorkcoffeefestival ?? @ 69th… https://t.co/aVNBfjzryu']",topic 13
69th regiment armory_0,"['We take our coffee very seriously. walterscoffee @ 69th Regiment Armory https://t.co/Bq5KP3jWy4', 'Jimmy Nash #live at #newyorkcoffeefestival 2016 @ 69th Regiment Armory https://t.co/dX19MSRzZu', 'Espresso Martini and Bottega Veneta. @ 69th Regiment Armory https://t.co/ukTNw4rOpK', 'Have we mentioned she WON! #coffeemasters @ 69th Regiment Armory https://t.co/gu0jbDEbqM', 'Pure inspiration from the #NewYorkCoffeeFestival @ 69th Regiment Armory https://t.co/WiRXV6mlL0', 'Big thanks to @joebeanroasters for coming down and serving their espresso. @ 69th Regiment Armory https://t.co/OVbS0NL0cH', ""Thanks to everyone for believing in Tom's Lemon Coffee. What a weekend! @ 69th Regiment Armory https://t.co/7u7rHCpMXa""]",topic 13
a321_0,"[""I'll be back! #dfw #airport #airplane #airbus #a321 #aa #americanairlines #takingoff #travel… https://t.co/pb2wn65GTv"", 'Landing at #KDFW #travel #airportlife #planeworld #airliners #airbus #a321 #airplane… https://t.co/OKGdb5ltqy']",topic 7
a3c_0,"['#A3CMusicFestival #SoundOfTheCity\r\n\r\nARTIST PERFORMANCES and PANELS from 10/4/16-10/9-16 ?: A3C… https://t.co/Hg5HvGvlCZ', 'Who Got it?????? #Oct6 #A3C @ Bank Head, ATL https://t.co/ClNpc9rDQt', 'A3c....is here \r\n@zaytovenbeatz @cassiusjay07\r\n@DDopeRadio… https://t.co/yC11fMpi8d', 'Wanna perform for #A3Cweek contact  BIGG VON @wegothitsatl  SOUNDSTAGE PERFORMANCES for #A3C… https://t.co/RddXLZ7jJn', ""NOLA is coming to ATL for #A3C if you're out there, come link with the fam? @ Atlanta, Georgia https://t.co/l5qY2E6QDC"", 'RIP THE KOB!! I got to share this moment on stage at A3C with shawtylo, crime mob triville,… https://t.co/ITU0Em06IW', '#A3C comin up ! Contact @soundgalleryinc NOW ! #digitalcrates #Beats #Drums #Bass #Piano… https://t.co/8DssAg3k1y', '@Regrann from @_trukings_  -  In the Lab...... ? by @usfjrain #music #artists #trukings #a3c… https://t.co/pa4nqmiF0t', '#FOLLOWTHEHAT Interview on @TechniquesRadio https://t.co/IHYpuihWWt RIGHT NOW! #MicClubATL #ABLATL #A3C #Radio… https://t.co/OWbfpusBWH']",topic 19
a7x_2,"['Jumpa member lama, M. Shadows ?\r\nYou guys were fucking awesome!\r\n#A7X @ Bridgestone Arena https://t.co/xbU0pRO0ng', '#A7X killed it tonight!!! Such #incredible #entertainers @ Bridgestone Arena: Avenged Sevenfold https://t.co/eRNAJ6fYDi', 'About last night. It was amazing???? #A7X @ Bridgestone Arena https://t.co/1rs4ZNUFEf', 'For starters...@TheOfficialA7X #nashville #a7x #foREVer ??? @ Bridgestone Arena https://t.co/f2JBMB9ckK', 'More Killswitch please. ?? #nashville #killswitchengage #a7x #livemusic #incarnate @ Bridgestone… https://t.co/DAP3DDlKjp']",topic 19
abq_1,"['My ride or die is making this road trip spectacular ??? @ Rock &amp; Brews - ABQ https://t.co/Fcini4PrvK', 'Starting the week off right with study and great pour over coffee from @prismaticcoffee. #ABQ… https://t.co/gsMM4fpNUN', ""New Whip #fixie #fixedgear #bike #bikelife #abq @ Jesse &amp; Jane's Duplex https://t.co/5EAIjxaJxX"", '#beer#bowandarrowbrewing #albuquerque #abq #newmexico #abqbeer @ Bow &amp; Arrow Brewing Co. https://t.co/MevFjPmDDu', 'It is on!!! #mtnbiking #ziarides #abqmtnbikefest #trailbike_brew #abq #imba #newmexicotrue @… https://t.co/Ymxc3LwSQw', ""Let's do this, #ABQ! See you at zincwinebarandbistro at 9. \r\n.\r\n.\r\n.\r\n.\r\n.\r\n.\r\n.\r\n#livemusic #musiclife… https://t.co/oZFWMIrspK""]",topic 18
acadianationalpark_1,"['??out ? #Maine #acadianationalpark #nofilter #precipicetrail #mtchamplain @ Precipice Trail,… https://t.co/QtkWOFkEls', '#Sunrise above the #fog and #clouds on #cadillacmountain in #acadianationalpark \r\nWhat a… https://t.co/G5CinugN3l', 'One more summit before we head home! #acadianationalpark #findyourpark #gorhammountain @ Acadia… https://t.co/2koagsKTq1', '#sandbeach #acadianationalpark @ Sand Beach, Acadia National Park https://t.co/HIptBTzTD2']",topic 21
ace hotel_0,"['With my favorite Guy on Earth! Xoxo #Amigo #nyc? #reunitedanditfeelssogood @ Ace Hotel New York https://t.co/UKGgQCh4uK', 'We made it and ready to ace it @ Ace Hotel New York https://t.co/lDmSDKFCEd', ""I'm at Ace Hotel New York in New York, NY https://t.co/w1nj9Ic5o0"", 'hey, nyc. ???? @ Stumptown Coffee @ Ace Hotel https://t.co/ATxedawTu1', 'A study of copy in experience design and wayfinding. @ Ace Hotel New York https://t.co/l2MGpBexyS']",topic 19
acreativedc_1,"['Airport: Take 2. #acreativedc #igdc @ Ronald Reagan Washington National Airport https://t.co/DgjXgw1m5v', 'Lines of Light\r\n#dc #washingtondc #igdc #dctography #exposeddc #dcitystyle #acreativedc #mydccool… https://t.co/YGnjZDxt1b', 'Back to our former glory. #acreativedc @ United States Capitol https://t.co/Z3YK0THzui', 'The Bernstein Company jammin paint session! #acreativedc #dcart #paintandsip #dupontcircle… https://t.co/tgVfNO3XL9', 'Portrait of a city flower\r\n*\r\nLG V10 + Close-up Filter\r\n*\r\nSmithsonian, DC\r\n*\r\n#acreativedc #fotodc… https://t.co/pKJN9kE6Ra', '#mixedfutures piece for #artallnight #ilanasart #aCreativeDC #madeindc #watercolors @ Brookland… https://t.co/F6ava18tSS']",topic 23
actress_7,"['#TROPICSRedCarpet | Live from the 2016 #Emmys Red Carpet: Best Supporting Actress - Comedy… https://t.co/nBs7yy4kA3', '#julialouisdreyfus #veep  #lead #actress #comedy #series #emmys2016 @ Microsoft Theater https://t.co/L7E8HOVm9n', 'Kate McKinnon wins for supporting actress in a comedy for ""SNL"" https://t.co/trUqXVzb28', ""At the Emmy's 68th Governors Ball Tonight! #emmys2016 #governersball  #producers #tv #actress… https://t.co/l0cIJXHQk2"", 'My #face after #winning Best Supporting Actress in a Male Dominant Role. ??? #real #emmy… https://t.co/MChydRLmB7']",topic 29
actress_8,"['""How do the stars keep comfy on an airplane? Actress, mom and Honest Company founder Jessica… https://t.co/IY7HRaj4zv', '""lose yourself"" ? by @SumPhotoChic #venicebeach #photoshoot #actress #model #beach #editorial… https://t.co/gkB8AGAacL', 'Thank you?Saundra Kibby for the photos. I enjoy being your model. #photoshoot #actress #vogue… https://t.co/eadZcVo4FF']",topic 23
actress_2,"['New shooting With @joa14 jcostaphoto #lifestyle #laritza #actress #dj #happy #working #work @… https://t.co/IeWybJX3Vg', 'Congrats, divine actress Regina King on your   Best Supporting Actress Emmy Award win for… https://t.co/Cpy7yC0fuq', 'Emmys Red Carpet television awards 2016  part II !! #emmys2016 #emmys #emmysawards #tv#actress… https://t.co/Jd8AymXcUx', 'Improv class. #actress #acting ? @ Villain Theater https://t.co/iG3N6dWcIq']",topic 16
adcolor_0,"['""Getting some color before #adcolor "" - @mabmoney | #adcolor2016 #adcolorturns10 @ Waldorf… https://t.co/vl4Fkn293K', 'Taking a break from #CGI2016 to send congrats to @ADCOLOR for its 10th Anniversary this week.… https://t.co/mwDqN8PLu9', 'In Boca for #ADCOLOR and spotted Googlers Chanelle Hardy + @valeisha… https://t.co/0dCwLcBvOG', 'Diablo night. ? #adcolorturns10 #adcolor @ Sumo Japanese Restaurant https://t.co/YLAi8oKTAv', 'Powerful panel at #AdColor titled ""Meet Her at the Top"" w/ Michele Thornton (Centric TV),… https://t.co/NCG7sdk8Cj', 'Views from the sick. Since transparency was a huge point of conversation at #ADCOLOR, I might as… https://t.co/0ciTxJ2Q8f', 'When AOL met Yahoo! #BetterTogether #ADCOLOR #ADCOLOR16 #Yahoo #AOL #Yahoos #BAOLers… https://t.co/W8pFQ3VNRr', 'This is something I can become familiar with... \r\n#bocaraton #boca #florida #adcolor #palmtrees… https://t.co/kmK0GaSmY7', 'Honoree brunch! #adcolor #adcolorturns10 #challengenow @ Lucca, the Boca Resort https://t.co/Jq18cCCzwK', 'Goals. Jamaican flag included! ????? #AOLatADCOLOR #ADCOLOR #YachtLife #views @ Waldorf Astoria… https://t.co/WxgAX416bz', ""@adcolor I'm #runninglate! #sneakpeak #adcolor #adcolorturns10 #redcarpet #challengenow @ Boca… https://t.co/btZAqjtwLC"", 'Ready for the 10th Annual @adcolor Awards! #ADCOLOR #ADCOLORturns10 #challengenow @ Waldorf… https://t.co/g0K5kz85tL', '?Microsoft Love? #ADCOLOR #AOLatADCOLOR #BocaRaton #ADCOLOR2016 #BetterTogether #Diversity… https://t.co/WxAXjCXe4O', 'Strangers on Day 1...homies by Day 3!  Major s/o to the fellas #squad #adcolor #adcolorturns10… https://t.co/1GTTndWLpN', '#AdColor with one of my favorite ex-Hackers -- so good catching up!… https://t.co/ovEtuDiY7A']",topic 10
addison circle_0,"[""In hopes of one day visiting Germany, but until that day.. Prost y'all!!! @ Addison Circle… https://t.co/n1CYD7TyXZ"", 'Another great Addison Oktoberfest! Post! @ Addison Circle… https://t.co/3FYF2f2sS9', '#PutGodFirst #positivepost #discipledalyce #praywithoutceasing #amen @ Addison Circle https://t.co/rcbEUOA0e8']",topic 13
